GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     859993     879961    105      25  354788       1.9081     0.028191
ENSG00000188976    1     879583     894679     66      13  354788      0.60187      0.27363
ENSG00000187961    1     895967     901099     45      11  354788      0.46531      0.32085
ENSG00000187583    1     901872     910488     55      25  354788       0.2615      0.39685
ENSG00000188290    1     934342     936608     16       5  354788      0.77712      0.21854
ENSG00000187608    1     948847     949920      7       3  354788       1.0042      0.15763
ENSG00000188157    1     955503     991499    216      34  354788       1.3732     0.084842
ENSG00000237330    1    1007126    1009687     13       7  354788      0.04504      0.48204
ENSG00000131591    1    1017198    1051736    156      18  354788     -0.11514      0.54583
ENSG00000162571    1    1109286    1133315    172      22  354788      0.20486      0.41884
ENSG00000186891    1    1138888    1142163     15       4  354788        1.071      0.14208
ENSG00000186827    1    1146706    1149703     13       6  354788     -0.15959       0.5634
ENSG00000078808    1    1152288    1167447    104       6  354788       1.2276      0.10981
ENSG00000176022    1    1167629    1170421     12       4  354788      0.54832      0.29174
ENSG00000184163    1    1177826    1182102     17       5  354788       2.1058     0.017609
ENSG00000160087    1    1189292    1209234     69      13  354788     -0.43865      0.66954
ENSG00000162572    1    1215816    1227409     60      21  354788     -0.23955      0.59466
ENSG00000131584    1    1227764    1243304     74      15  354788       1.0173       0.1545
ENSG00000169972    1    1243962    1247057     10       7  354788       1.6047     0.054278
ENSG00000127054    1    1246965    1260067     28       9  354788      0.78706      0.21562
ENSG00000169962    1    1266726    1269844     18      11  354788       1.1506      0.12495
ENSG00000107404    1    1270658    1284509     53      12  354788      0.48857      0.31257
ENSG00000162576    1    1288071    1297183     33       7  354788      0.36015      0.35937
ENSG00000175756    1    1309110    1310818      9       4  354788      0.42062      0.33701
ENSG00000221978    1    1321091    1334718     31      11  354788     -0.45348       0.6749
ENSG00000242485    1    1337276    1342693     18       7  354788      -0.6229      0.73333
ENSG00000235098    1    1353800    1356824     12       3  354788      0.12731      0.44935
ENSG00000205116    1    1361508    1363167     10       4  354788      0.18528       0.4265
ENSG00000179403    1    1370903    1378262     24       7  354788      0.46414      0.32127
ENSG00000215915    1    1378152    1405538    101      18  354788       0.7629      0.22276
ENSG00000160072    1    1407139    1444852    168      18  354788       2.0953     0.018073
ENSG00000197785    1    1447523    1470067    107      13  354788       1.1894      0.11715
ENSG00000205090    1    1470158    1475740     12       6  354788       1.0323      0.15096
ENSG00000160075    1    1477053    1510262    102      10  354788   -0.0084303      0.50336
ENSG00000228594    1    1533388    1535476      2       1  354788        1.841     0.032814
ENSG00000197530    1    1550795    1565990     36       7  354788       6.1815   3.1752e-10
ENSG00000189409    1    1567060    1570030      2       1  354788       2.9328    0.0016798
ENSG00000248333    1    1571100    1590473     33       4  354788       5.7333   4.9245e-09
ENSG00000189339    1    1591486    1624243     89      15  354788       5.8486   2.4786e-09
ENSG00000008128    1    1633822    1655999    109       7  354788       1.2758      0.10102
ENSG00000215790    1    1656277    1677438     79      10  354788       3.3498   0.00040435
ENSG00000008130    1    1682671    1711508    104      19  354788       4.4958    3.466e-06
ENSG00000078369    1    1716725    1822552    242      39  354788       4.9718   3.3173e-07
ENSG00000169885    1    1846266    1848733     14       5  354788       4.5472   2.7182e-06
