GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     859993     879961    105      25  354732      0.52531      0.29968
ENSG00000188976    1     879583     894679     66      13  354732      -0.6818      0.75232
ENSG00000187961    1     895967     901099     45      11  354732      -1.0144      0.84479
ENSG00000187583    1     901872     910488     55      25  354732     -0.17981      0.57135
ENSG00000188290    1     934342     936608     16       5  354732   -0.0093529      0.50373
ENSG00000187608    1     948847     949920      7       3  354732      -0.5052      0.69329
ENSG00000188157    1     955503     991499    216      34  354732       2.3236     0.010074
ENSG00000237330    1    1007126    1009687     13       7  354732        1.481       0.0693
ENSG00000131591    1    1017198    1051736    156      18  354732      0.82268      0.20535
ENSG00000162571    1    1109286    1133315    172      22  354732     -0.26858      0.60587
ENSG00000186891    1    1138888    1142163     15       4  354732     -0.19801      0.57848
ENSG00000186827    1    1146706    1149703     13       6  354732      0.70595      0.24011
ENSG00000078808    1    1152288    1167447    104       6  354732     -0.55324      0.70995
ENSG00000176022    1    1167629    1170421     12       4  354732      0.61472      0.26937
ENSG00000184163    1    1177826    1182102     17       5  354732       1.6339     0.051139
ENSG00000160087    1    1189292    1209234     69      13  354732      0.79936      0.21204
ENSG00000162572    1    1215816    1227409     60      21  354732     0.029676      0.48816
ENSG00000131584    1    1227764    1243304     74      15  354732      0.18665      0.42597
ENSG00000169972    1    1243962    1247057     10       7  354732       1.1364       0.1279
ENSG00000127054    1    1246965    1260067     28       9  354732      0.49566      0.31007
ENSG00000169962    1    1266726    1269844     18      11  354732       1.6829     0.046196
ENSG00000107404    1    1270658    1284509     53      12  354732    -0.074725      0.52978
ENSG00000162576    1    1288071    1297183     33       7  354732      0.45203      0.32562
ENSG00000175756    1    1309110    1310818      9       4  354732       0.5155       0.3031
ENSG00000221978    1    1321091    1334718     31      11  354732       -0.295        0.616
ENSG00000242485    1    1337276    1342693     18       7  354732     -0.31247      0.62266
ENSG00000235098    1    1353800    1356824     12       3  354732      0.97858      0.16389
ENSG00000205116    1    1361508    1363167     10       4  354732      0.59384      0.27631
ENSG00000179403    1    1370903    1378262     24       7  354732       1.6075     0.053972
ENSG00000215915    1    1378152    1405538    101      18  354732      0.17972      0.42869
ENSG00000160072    1    1407139    1444852    168      18  354732     -0.54288      0.70639
ENSG00000197785    1    1447523    1470067    107      13  354732      0.22129      0.41243
ENSG00000205090    1    1470158    1475740     12       6  354732       2.9885    0.0014017
ENSG00000160075    1    1477053    1510262    102      10  354732       2.6704    0.0037875
ENSG00000228594    1    1533388    1535476      2       1  354732     -0.27197      0.60718
