GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000187634    1     859993     879961    105      25  75401     -0.41277      0.66011
ENSG00000188976    1     879583     894679     66      13  75401     -0.41532      0.66105
ENSG00000187961    1     895967     901099     45      11  75401     -0.84116      0.79987
ENSG00000187583    1     901872     910488     55      25  75401    -0.075552      0.53011
ENSG00000188290    1     934342     936608     16       5  75401    -0.040638      0.51621
ENSG00000187608    1     948847     949920      7       3  75401      -1.5978      0.94495
ENSG00000188157    1     955503     991499    216      34  75401      -1.7323      0.95839
ENSG00000237330    1    1007126    1009687     13       7  75401     -0.90636      0.81763
ENSG00000131591    1    1017198    1051736    156      18  75401     -0.67354       0.7497
ENSG00000162571    1    1109286    1133315    172      22  75401      -1.2176      0.88831
ENSG00000186891    1    1138888    1142163     15       4  75401      -2.2368      0.98735
ENSG00000186827    1    1146706    1149703     13       6  75401     -0.98342       0.8373
ENSG00000078808    1    1152288    1167447    104       6  75401      -1.9757       0.9759
ENSG00000176022    1    1167629    1170421     12       4  75401      0.51958      0.30168
ENSG00000184163    1    1177826    1182102     17       5  75401      -1.6602      0.95157
ENSG00000160087    1    1189292    1209234     69      13  75401     -0.15428      0.56131
ENSG00000162572    1    1215816    1227409     60      21  75401      0.90672      0.18228
ENSG00000131584    1    1227764    1243304     74      15  75401       0.8032      0.21093
ENSG00000169972    1    1243962    1247057     10       7  75401    -0.074361      0.52964
ENSG00000127054    1    1246965    1260067     28       9  75401     -0.88877      0.81294
ENSG00000169962    1    1266726    1269844     18      11  75401      -1.4715      0.92942
ENSG00000107404    1    1270658    1284509     53      12  75401     -0.75911      0.77611
ENSG00000162576    1    1288071    1297183     33       7  75401     -0.25232       0.5996
ENSG00000175756    1    1309110    1310818      9       4  75401      0.53912       0.2949
ENSG00000221978    1    1321091    1334718     31      11  75401     -0.20184      0.57998
ENSG00000242485    1    1337276    1342693     18       7  75401     -0.12023      0.54785
ENSG00000235098    1    1353800    1356824     12       3  75401     0.090615       0.4639
ENSG00000205116    1    1361508    1363167     10       4  75401      0.81809      0.20665
ENSG00000179403    1    1370903    1378262     24       7  75401      -1.5146      0.93507
ENSG00000215915    1    1378152    1405538    101      18  75401     -0.02452      0.50978
ENSG00000160072    1    1407139    1444852    168      18  75401      0.44171      0.32935
ENSG00000197785    1    1447523    1470067    107      13  75401      0.49396      0.31067
ENSG00000205090    1    1470158    1475740     12       6  75401     -0.56987      0.71562
ENSG00000160075    1    1477053    1510262    102      10  75401      0.46185      0.32209
