GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000187634    1     859993     879961    105      25  65529      -1.1615      0.87728
ENSG00000188976    1     879583     894679     66      13  65529    -0.069662      0.52777
ENSG00000187961    1     895967     901099     45      11  65529      -1.0359      0.84987
ENSG00000187583    1     901872     910488     55      25  65529       1.2025      0.11458
ENSG00000188290    1     934342     936608     16       5  65529        2.078     0.018853
ENSG00000187608    1     948847     949920      7       3  65529      0.39481      0.34649
ENSG00000188157    1     955503     991499    216      34  65529      0.90159      0.18364
ENSG00000237330    1    1007126    1009687     13       7  65529      0.46073       0.3225
ENSG00000131591    1    1017198    1051736    156      18  65529       1.5536     0.060137
ENSG00000162571    1    1109286    1133315    172      22  65529       1.2985     0.097056
ENSG00000186891    1    1138888    1142163     15       4  65529      0.32224      0.37364
ENSG00000186827    1    1146706    1149703     13       6  65529     -0.94094      0.82663
ENSG00000078808    1    1152288    1167447    104       6  65529      0.61961      0.26776
ENSG00000176022    1    1167629    1170421     12       4  65529       -2.546      0.99455
ENSG00000184163    1    1177826    1182102     17       5  65529       0.4277      0.33443
ENSG00000160087    1    1189292    1209234     69      13  65529     -0.38966      0.65161
ENSG00000162572    1    1215816    1227409     60      21  65529     -0.65453      0.74362
ENSG00000131584    1    1227764    1243304     74      15  65529       2.3676    0.0089516
ENSG00000169972    1    1243962    1247057     10       7  65529       1.3302     0.091722
ENSG00000127054    1    1246965    1260067     28       9  65529       1.5823     0.056793
ENSG00000169962    1    1266726    1269844     18      11  65529       1.3112     0.094898
ENSG00000107404    1    1270658    1284509     53      12  65529        1.383     0.083333
ENSG00000162576    1    1288071    1297183     33       7  65529       1.3828     0.083371
ENSG00000175756    1    1309110    1310818      9       4  65529      0.88256      0.18874
ENSG00000221978    1    1321091    1334718     31      11  65529       1.9949     0.023029
ENSG00000242485    1    1337276    1342693     18       7  65529       2.1515     0.015719
ENSG00000235098    1    1353800    1356824     12       3  65529      0.43918      0.33026
ENSG00000205116    1    1361508    1363167     10       4  65529      0.59969      0.27436
ENSG00000179403    1    1370903    1378262     24       7  65529      0.53987      0.29464
ENSG00000215915    1    1378152    1405538    101      18  65529      0.83902      0.20073
ENSG00000160072    1    1407139    1444852    168      18  65529      0.51923       0.3018
ENSG00000197785    1    1447523    1470067    107      13  65529      0.56313      0.28667
ENSG00000205090    1    1470158    1475740     12       6  65529     -0.20444        0.581
ENSG00000160075    1    1477053    1510262    102      10  65529      0.20362      0.41932
ENSG00000228594    1    1533388    1535476      2       1  65529     -0.47199      0.68153
ENSG00000197530    1    1550795    1565990     36       7  65529       -1.503      0.93358
ENSG00000189409    1    1567060    1570030      2       1  65529     -0.20461      0.58106
ENSG00000248333    1    1571100    1590473     33       4  65529       1.1032      0.13497
ENSG00000189339    1    1591486    1624243     89      15  65529      0.77364      0.21957
ENSG00000008128    1    1633822    1655999    109       7  65529     -0.98863      0.83858
ENSG00000215790    1    1656277    1677438     79      10  65529     -0.84285      0.80034
ENSG00000008130    1    1682671    1711508    104      19  65529      -1.1291      0.87058
ENSG00000078369    1    1716725    1822552    242      39  65529     -0.58117      0.71944
ENSG00000169885    1    1846266    1848733     14       5  65529     -0.67445      0.74999
ENSG00000178821    1    1849029    1850740      9       4  65529      -1.5223      0.93604
ENSG00000187730    1    1950768    1962192     43      12  65529       2.3459    0.0094905
ENSG00000067606    1    1981909    2116834    664      60  65529      0.97289       0.1653
ENSG00000162585    1    2115899    2144159     87      25  65529      0.45118      0.32593
ENSG00000157933    1    2160134    2241652    373      74  65529      0.50105      0.30817
ENSG00000116151    1    2251719    2323190    445      60  65529      0.69404      0.24383
ENSG00000157916    1    2323214    2336883     53      19  65529       1.1386      0.12743
ENSG00000157911    1    2336241    2344010     41      18  65529     -0.28078      0.61056
ENSG00000149527    1    2407754    2436964    144      34  65529       1.1109      0.13331
ENSG00000157881    1    2439975    2458061     98      24  65529       1.1548       0.1241
ENSG00000197921    1    2460184    2461684      6       4  65529      0.71944      0.23594
ENSG00000157873    1    2487291    2495268     32      11  65529      -1.2628      0.89667
ENSG00000157870    1    2517899    2522908     24      13  65529     -0.84048      0.79968
ENSG00000142606    1    2522078    2564499    234      20  65529       -1.508      0.93422
ENSG00000215912    1    2572807    2706230    431      31  65529      -1.3373      0.90943
ENSG00000169717    1    2938046    2939467      7       4  65529      0.28323       0.3885
ENSG00000142611    1    2985565    3355185   1987     205  65529       0.3535      0.36186
ENSG00000130762    1    3371147    3397677    127      20  65529     -0.86586      0.80672
ENSG00000162591    1    3404506    3528059    669     101  65529      0.65927      0.25486
ENSG00000158109    1    3541556    3546695     15       6  65529      0.21742      0.41394
ENSG00000116213    1    3547331    3566671     68      21  65529     -0.75506      0.77489
ENSG00000078900    1    3569129    3652765    384      71  65529      0.33658      0.36822
ENSG00000162592    1    3668965    3688209     84      20  65529     -0.30813      0.62101
ENSG00000235169    1    3689352    3692546     13       5  65529      0.39036      0.34814
ENSG00000130764    1    3696784    3713068     97      20  65529      -0.3664      0.64297
ENSG00000116198    1    3728645    3773797    335      20  65529     0.051549      0.47944
ENSG00000169598    1    3773845    3801993    194      28  65529     -0.91745      0.82055
ENSG00000198912    1    3805697    3816857     57      13  65529     -0.29498      0.61599
ENSG00000196581    1    4715105    4843851    846     107  65529       1.3979      0.08107
ENSG00000131697    1    5922870    6052618    597      36  65529     -0.29068      0.61435
ENSG00000069424    1    6052358    6161253    467      72  65529      0.58587      0.27898
ENSG00000116254    1    6161847    6240194    390      51  65529      0.38942      0.34848
ENSG00000116251    1    6245080    6259679     44      10  65529     0.069902      0.47214
ENSG00000158286    1    6266189    6281359     60      12  65529      0.33952      0.36711
ENSG00000116237    1    6281253    6296044     53      12  65529     -0.37134      0.64481
ENSG00000173673    1    6304252    6305638      6       3  65529      0.19637      0.42216
ENSG00000158292    1    6307406    6321035     50       6  65529      0.51295      0.30399
ENSG00000097021    1    6324332    6453826    613      33  65529      0.99162      0.16069
ENSG00000069812    1    6475292    6484724     35       8  65529      -1.0794      0.85979
ENSG00000187017    1    6484836    6521004    143      20  65529      -0.8658       0.8067
ENSG00000215788    1    6520787    6527432     34      13  65529      0.34893      0.36357
ENSG00000171680    1    6526152    6580121    230      47  65529     -0.43927      0.66977
ENSG00000162408    1    6581407    6614658    166      10  65529     -0.25938      0.60233
ENSG00000173662    1    6614987    6639817     97      21  65529      0.35621      0.36084
