GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     859993     879961    105      25  361187       -1.069      0.85745
ENSG00000188976    1     879583     894679     66      13  361187      0.43063      0.33337
ENSG00000187961    1     895967     901099     45      11  361187     -0.55012      0.70888
ENSG00000187583    1     901872     910488     55      25  361187       1.0874      0.13843
ENSG00000188290    1     934342     936608     16       5  361187       1.4415     0.074722
ENSG00000187608    1     948847     949920      7       3  361187      0.52778      0.29883
ENSG00000188157    1     955503     991499    216      34  361187       1.5356     0.062319
ENSG00000237330    1    1007126    1009687     13       7  361187       1.5701      0.05819
ENSG00000131591    1    1017198    1051736    156      18  361187       1.4068     0.079747
ENSG00000162571    1    1109286    1133315    172      22  361187      0.91981      0.17884
ENSG00000186891    1    1138888    1142163     15       4  361187      0.26279      0.39635
ENSG00000186827    1    1146706    1149703     13       6  361187       1.2268      0.10995
ENSG00000078808    1    1152288    1167447    104       6  361187      -0.2589      0.60214
ENSG00000176022    1    1167629    1170421     12       4  361187       1.0263      0.15237
ENSG00000184163    1    1177826    1182102     17       5  361187       0.2035      0.41937
ENSG00000160087    1    1189292    1209234     69      13  361187      0.18133      0.42805
ENSG00000162572    1    1215816    1227409     60      21  361187     -0.18127      0.57192
ENSG00000131584    1    1227764    1243304     74      15  361187     -0.88205      0.81113
ENSG00000169972    1    1243962    1247057     10       7  361187     -0.76638      0.77827
ENSG00000127054    1    1246965    1260067     28       9  361187  -0.00079301      0.50032
ENSG00000169962    1    1266726    1269844     18      11  361187     0.013407      0.49465
ENSG00000107404    1    1270658    1284509     53      12  361187     -0.21072      0.58345
ENSG00000162576    1    1288071    1297183     33       7  361187     -0.22291       0.5882
ENSG00000175756    1    1309110    1310818      9       4  361187      0.21304      0.41565
ENSG00000221978    1    1321091    1334718     31      11  361187    -0.022821       0.5091
ENSG00000242485    1    1337276    1342693     18       7  361187      -1.1011      0.86456
ENSG00000235098    1    1353800    1356824     12       3  361187      -1.1638      0.87775
ENSG00000205116    1    1361508    1363167     10       4  361187     -0.67651      0.75064
ENSG00000179403    1    1370903    1378262     24       7  361187      0.10786      0.45705
ENSG00000215915    1    1378152    1405538    101      18  361187       1.0091      0.15646
ENSG00000160072    1    1407139    1444852    168      18  361187      0.37068      0.35544
ENSG00000197785    1    1447523    1470067    107      13  361187     -0.48088       0.6847
ENSG00000205090    1    1470158    1475740     12       6  361187      0.39756      0.34548
ENSG00000160075    1    1477053    1510262    102      10  361187     -0.16369      0.56501
ENSG00000228594    1    1533388    1535476      2       1  361187      -2.3155      0.98971
ENSG00000197530    1    1550795    1565990     36       7  361187     -0.93238      0.82443
ENSG00000189409    1    1567060    1570030      2       1  361187     -0.31172      0.62237
ENSG00000248333    1    1571100    1590473     33       4  361187      0.31588      0.37605
ENSG00000189339    1    1591486    1624243     89      15  361187     0.019105      0.49238
ENSG00000008128    1    1633822    1655999    109       7  361187      -1.5075      0.93416
ENSG00000215790    1    1656277    1677438     79      10  361187       1.1561      0.12382
ENSG00000008130    1    1682671    1711508    104      19  361187      0.68114      0.24789
ENSG00000078369    1    1716725    1822552    242      39  361187      0.60575      0.27234
ENSG00000169885    1    1846266    1848733     14       5  361187     -0.39221      0.65255
ENSG00000178821    1    1849029    1850740      9       4  361187     -0.65388       0.7434
ENSG00000187730    1    1950768    1962192     43      12  361187      0.37313      0.35452
ENSG00000067606    1    1981909    2116834    664      60  361187       -0.224      0.58862
ENSG00000162585    1    2115899    2144159     87      25  361187     -0.14473      0.55754
ENSG00000157933    1    2160134    2241652    373      74  361187     -0.23253      0.59194
ENSG00000116151    1    2251719    2323190    445      60  361187     -0.75516      0.77492
ENSG00000157916    1    2323214    2336883     53      19  361187      0.63696      0.26207
ENSG00000157911    1    2336241    2344010     41      18  361187     -0.39426      0.65331
ENSG00000149527    1    2407754    2436964    144      34  361187       1.2703      0.10199
ENSG00000157881    1    2439975    2458061     98      24  361187       1.6693     0.047533
ENSG00000197921    1    2460184    2461684      6       4  361187      0.48121      0.31519
ENSG00000157873    1    2487291    2495268     32      11  361187     -0.12971       0.5516
ENSG00000157870    1    2517899    2522908     24      13  361187      -1.0734      0.85846
ENSG00000142606    1    2522078    2564499    234      20  361187     -0.68777       0.7542
ENSG00000215912    1    2572807    2706230    431      31  361187     -0.61035      0.72919
ENSG00000169717    1    2938046    2939467      7       4  361187     -0.33868      0.63257
ENSG00000142611    1    2985565    3355185   1987     205  361187       1.9596     0.025019
ENSG00000130762    1    3371147    3397677    127      20  361187      -2.1825      0.98546
ENSG00000162591    1    3404506    3528059    669     101  361187      0.64111      0.26073
ENSG00000158109    1    3541556    3546695     15       6  361187     -0.82663      0.79578
ENSG00000116213    1    3547331    3566671     68      21  361187     -0.87705      0.80977
ENSG00000078900    1    3569129    3652765    384      71  361187       1.2794      0.10037
ENSG00000162592    1    3668965    3688209     84      20  361187      0.14061      0.44409
ENSG00000235169    1    3689352    3692546     13       5  361187       1.0133      0.15547
ENSG00000130764    1    3696784    3713068     97      20  361187      0.68084      0.24799
ENSG00000116198    1    3728645    3773797    335      20  361187      0.84628       0.1987
ENSG00000169598    1    3773845    3801993    194      28  361187      0.87274       0.1914
ENSG00000198912    1    3805697    3816857     57      13  361187      0.41546       0.3389
ENSG00000196581    1    4715105    4843851    846     107  361187       1.2198      0.11128
ENSG00000131697    1    5922870    6052618    597      36  361187       2.3035     0.010627
ENSG00000069424    1    6052358    6161253    467      72  361187        1.975     0.024133
ENSG00000116254    1    6161847    6240194    390      51  361187     -0.10016      0.53989
ENSG00000116251    1    6245080    6259679     44      10  361187      0.16432      0.43474
ENSG00000158286    1    6266189    6281359     60      12  361187      0.34583      0.36473
ENSG00000116237    1    6281253    6296044     53      12  361187     -0.21979      0.58698
ENSG00000173673    1    6304252    6305638      6       3  361187      0.61294      0.26996
ENSG00000158292    1    6307406    6321035     50       6  361187     -0.26472      0.60439
ENSG00000097021    1    6324332    6453826    613      33  361187      0.30859      0.37882
ENSG00000069812    1    6475292    6484724     35       8  361187       1.5344     0.062469
ENSG00000187017    1    6484836    6521004    143      20  361187        1.047      0.14755
ENSG00000215788    1    6520787    6527432     34      13  361187      0.33896      0.36732
ENSG00000171680    1    6526152    6580121    230      47  361187      -1.1624      0.87745
ENSG00000162408    1    6581407    6614658    166      10  361187      -1.1199      0.86862
ENSG00000173662    1    6614987    6639817     97      21  361187   -0.0012687      0.50051
ENSG00000204859    1    6640051    6649340     20      11  361187      0.17885      0.42903
ENSG00000162413    1    6650784    6662958     56      22  361187      0.71127      0.23846
ENSG00000116273    1    6673756    6684093     30       8  361187     0.064348      0.47435
ENSG00000041988    1    6684925    6695646     47      13  361187      -1.0119       0.8442
ENSG00000007923    1    6694228    6761966    237      39  361187     0.096043      0.46174
ENSG00000171735    1    6845384    7829766   3850     277  361187       4.3238   7.6672e-06
ENSG00000049245    1    7831329    7841492     44      13  361187       2.3815    0.0086215
ENSG00000049246    1    7844413    7905241    302      33  361187       2.9248    0.0017231
ENSG00000049247    1    7907672    7913551     28      11  361187        1.269      0.10223
ENSG00000049249    1    7975931    8003225     83      15  361187       1.3666      0.08588
ENSG00000116288    1    8021714    8045342     81      18  361187       2.1702     0.014997
ENSG00000116285    1    8071779    8086393     34      10  361187       2.6017    0.0046383
ENSG00000162426    1    8378171    8404227    109      20  361187       1.4785     0.069641
ENSG00000142599    1    8412464    8877699   1131      49  361187        1.675     0.046967
ENSG00000074800    1    8921059    8939151     45      13  361187       1.3212      0.09321
ENSG00000131686    1    9005893    9035151    164      37  361187     0.043493      0.48265
ENSG00000197241    1    9063359    9086404    100      29  361187      0.78298      0.21682
ENSG00000142583    1    9097005    9131763    162      25  361187      0.96673      0.16684
ENSG00000180758    1    9163472    9189229     98      21  361187       1.1582       0.1234
ENSG00000049239    1    9294822    9331396    157      36  361187     -0.96078      0.83167
ENSG00000171621    1    9335202    9429591    597      96  361187     -0.21545      0.58529
ENSG00000171612    1    9599528    9642831    104      23  361187       1.0914      0.13755
ENSG00000188807    1    9648932    9674935     72      20  361187       1.6742     0.047042
ENSG00000171608    1    9711789    9789172    264      48  361187       1.2489      0.10584
ENSG00000171603    1    9789079    9884550    272      38  361187      0.56723      0.28528
ENSG00000178585    1    9908334    9970316    192      44  361187        2.602    0.0046342
ENSG00000162441    1    9982168   10003460     74      19  361187    0.0028946      0.49885
ENSG00000173614    1   10003486   10045556    131      27  361187       1.1013      0.13539
ENSG00000162444    1   10057255   10076078     61      11  361187      0.62313       0.2666
ENSG00000130939    1   10093041   10241297    520      33  361187      0.74069      0.22944
ENSG00000054523    1   10270606   10441664    721      29  361187      0.80767      0.20964
ENSG00000142657    1   10458884   10480565     71      14  361187       1.5616     0.059187
ENSG00000175279    1   10489944   10510239     83      14  361187      0.64878      0.25824
ENSG00000241563    1   10509776   10512060      5       2  361187       1.1233      0.13065
ENSG00000160049    1   10520588   10532613     44      17  361187       0.3724       0.3548
ENSG00000142655    1   10535003   10690815    550      49  361187       1.3212     0.093223
ENSG00000130940    1   10696661   10856733    570      97  361187      0.88244      0.18877
ENSG00000175262    1   11006530   11042094    143      21  361187      -0.5956      0.72428
ENSG00000120948    1   11072462   11085549     33       7  361187      -1.0003      0.84142
ENSG00000009724    1   11086580   11107296     84      15  361187      0.29029       0.3858
ENSG00000116649    1   11114649   11120091     12       5  361187       1.3258     0.092452
ENSG00000171824    1   11126675   11159961    123      10  361187       1.1899      0.11703
ENSG00000198793    1   11166588   11322614    442      18  361187       1.5367     0.062183
ENSG00000171819    1   11249346   11256038     20       5  361187       1.9197      0.02745
ENSG00000120942    1   11333255   11348491     30       6  361187       1.2486      0.10591
ENSG00000204624    1   11539295   11597640    206      27  361187       1.6718     0.047286
ENSG00000116661    1   11707924   11714888     25      14  361187       1.6595     0.048509
ENSG00000132879    1   11714432   11723384     31      11  361187      0.40973        0.341
ENSG00000116663    1   11724150   11734411     50      14  361187    -0.082291      0.53279
ENSG00000116670    1   11734537   11751678     77      17  361187       1.6064     0.054096
ENSG00000162490    1   11751781   11780336    109      21  361187      -1.5033      0.93362
ENSG00000177674    1   11796142   11810828     49      11  361187      0.15093      0.44002
ENSG00000215910    1   11823827   11849642    168      13  361187       1.0924      0.13732
ENSG00000177000    1   11845787   11866160     89      13  361187        1.178      0.11939
ENSG00000011021    1   11866153   11903201    224      19  361187       1.3094     0.095202
ENSG00000175206    1   11905766   11907840     19       5  361187       1.2684      0.10233
ENSG00000120937    1   11917521   11918992      4       2  361187      0.58928      0.27784
ENSG00000116685    1   11979645   11986485     31      11  361187       1.2649      0.10296
ENSG00000083444    1   11994724   12035599    159      21  361187      0.53772      0.29539
ENSG00000116688    1   12040238   12073572    115      15  361187       1.5883     0.056109
ENSG00000116691    1   12079299   12092106     31       9  361187     -0.38572      0.65015
ENSG00000120949    1   12123434   12204264    250      51  361187       1.1358      0.12802
ENSG00000028137    1   12227044   12269279    164      24  361187     -0.52347      0.69968
ENSG00000048707    1   12290101   12572099    796      35  361187      0.29958      0.38225
ENSG00000162496    1   12627939   12677820    209      44  361187    -0.087946      0.53504
ENSG00000204518    1   12704566   12727097     78      11  361187       1.2293      0.10948
ENSG00000188984    1   12776118   12788726     51       9  361187     0.031651      0.48738
ENSG00000157330    1   12806163   12821102     45      10  361187      0.85284      0.19687
ENSG00000116726    1   12834984   12838049     10       3  361187       0.7655      0.22199
ENSG00000116721    1   12851546   12856777     17       9  361187       1.5818     0.056846
ENSG00000204513    1   12884468   12891264      2       1  361187       1.7775     0.037742
ENSG00000179172    1   12907261   12908578      7       3  361187        2.155     0.015582
ENSG00000120952    1   12916941   12921764     32       7  361187       1.4958     0.067349
ENSG00000243073    1   12939033   12946025      6       1  361187       2.0907     0.018276
ENSG00000187545    1   12952727   12958094      2       1  361187       1.6628     0.048178
