GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     859993     879961    105      25  358695     0.020073      0.49199
ENSG00000188976    1     879583     894679     66      13  358695       -0.888      0.81273
ENSG00000187961    1     895967     901099     45      11  358695      -0.8383      0.79907
ENSG00000187583    1     901872     910488     55      25  358695       0.8819      0.18892
ENSG00000188290    1     934342     936608     16       5  358695       1.3671      0.08579
ENSG00000187608    1     948847     949920      7       3  358695       2.5221    0.0058333
ENSG00000188157    1     955503     991499    216      34  358695      0.57736      0.28185
ENSG00000237330    1    1007126    1009687     13       7  358695      0.46175      0.32213
ENSG00000131591    1    1017198    1051736    156      18  358695       2.8586    0.0021277
ENSG00000162571    1    1109286    1133315    172      22  358695     -0.17695      0.57022
ENSG00000186891    1    1138888    1142163     15       4  358695    -0.079158      0.53155
ENSG00000186827    1    1146706    1149703     13       6  358695       1.2954     0.097598
ENSG00000078808    1    1152288    1167447    104       6  358695       1.7732     0.038099
ENSG00000176022    1    1167629    1170421     12       4  358695      0.11934       0.4525
ENSG00000184163    1    1177826    1182102     17       5  358695    -0.072126      0.52875
ENSG00000160087    1    1189292    1209234     69      13  358695       1.5901     0.055907
ENSG00000162572    1    1215816    1227409     60      21  358695       1.0513      0.14655
ENSG00000131584    1    1227764    1243304     74      15  358695      0.14658      0.44173
ENSG00000169972    1    1243962    1247057     10       7  358695      0.45674      0.32393
ENSG00000127054    1    1246965    1260067     28       9  358695       1.6025     0.054527
ENSG00000169962    1    1266726    1269844     18      11  358695      0.51326      0.30388
ENSG00000107404    1    1270658    1284509     53      12  358695       1.5738      0.05777
ENSG00000162576    1    1288071    1297183     33       7  358695       1.6433     0.050164
ENSG00000175756    1    1309110    1310818      9       4  358695     -0.26367      0.60398
ENSG00000221978    1    1321091    1334718     31      11  358695     -0.43777      0.66922
ENSG00000242485    1    1337276    1342693     18       7  358695     -0.10309      0.54106
ENSG00000235098    1    1353800    1356824     12       3  358695     -0.21492      0.58509
ENSG00000205116    1    1361508    1363167     10       4  358695      -1.0834      0.86068
ENSG00000179403    1    1370903    1378262     24       7  358695      0.12806      0.44905
ENSG00000215915    1    1378152    1405538    101      18  358695      -1.3364       0.9093
ENSG00000160072    1    1407139    1444852    168      18  358695    0.0072649       0.4971
ENSG00000197785    1    1447523    1470067    107      13  358695       1.0375      0.14975
ENSG00000205090    1    1470158    1475740     12       6  358695       0.4213      0.33677
ENSG00000160075    1    1477053    1510262    102      10  358695       0.5226      0.30063
ENSG00000228594    1    1533388    1535476      2       1  358695      -2.2094      0.98643
ENSG00000197530    1    1550795    1565990     36       7  358695      -2.2864      0.98889
ENSG00000189409    1    1567060    1570030      2       1  358695      -1.4172      0.92179
ENSG00000248333    1    1571100    1590473     33       4  358695      -1.4854      0.93128
ENSG00000189339    1    1591486    1624243     89      15  358695     -0.81773      0.79324
ENSG00000008128    1    1633822    1655999    109       7  358695      0.44804      0.32706
ENSG00000215790    1    1656277    1677438     79      10  358695      0.17285      0.43139
ENSG00000008130    1    1682671    1711508    104      19  358695     -0.77289      0.78021
ENSG00000078369    1    1716725    1822552    242      39  358695     -0.70604      0.75992
ENSG00000169885    1    1846266    1848733     14       5  358695      -0.5192      0.69819
ENSG00000178821    1    1849029    1850740      9       4  358695    -0.064701      0.52579
ENSG00000187730    1    1950768    1962192     43      12  358695       1.8635     0.031199
ENSG00000067606    1    1981909    2116834    664      60  358695       2.1365     0.016319
ENSG00000162585    1    2115899    2144159     87      25  358695        2.214     0.013414
ENSG00000157933    1    2160134    2241652    373      74  358695       1.9336     0.026579
ENSG00000116151    1    2251719    2323190    445      60  358695       1.2452      0.10654
ENSG00000157916    1    2323214    2336883     53      19  358695      0.52104      0.30117
ENSG00000157911    1    2336241    2344010     41      18  358695      0.53537       0.2962
ENSG00000149527    1    2407754    2436964    144      34  358695       1.4838      0.06893
ENSG00000157881    1    2439975    2458061     98      24  358695        2.786    0.0026678
ENSG00000197921    1    2460184    2461684      6       4  358695       1.0163      0.15475
ENSG00000157873    1    2487291    2495268     32      11  358695       1.2872     0.099019
ENSG00000157870    1    2517899    2522908     24      13  358695      -0.1135      0.54518
ENSG00000142606    1    2522078    2564499    234      20  358695       0.1579      0.43727
ENSG00000215912    1    2572807    2706230    431      31  358695      0.93974      0.17368
ENSG00000169717    1    2938046    2939467      7       4  358695      0.55859      0.28822
ENSG00000142611    1    2985565    3355185   1987     205  358695     0.092466      0.46316
ENSG00000130762    1    3371147    3397677    127      20  358695      0.17468      0.43067
ENSG00000162591    1    3404506    3528059    669     101  358695       1.0692      0.14249
ENSG00000158109    1    3541556    3546695     15       6  358695     -0.58644      0.72121
ENSG00000116213    1    3547331    3566671     68      21  358695    -0.099601      0.53967
