ID	TRAIT	ANNOT	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z.score	BIN	tau_adjusted	tau_adjusted_se	tau_adjusted_p
ALT_Liver_intensity_GROUP1	ALT	Liver_intensity_GROUP1	0.0122383918966094	0.194182326250423	0.0386870080454515	15.8666537148742	3.16111858259497	5.29603523625208e-06	3.81077028370812e-07	1.14511763784789e-07	3.32784174983977	intensity_GROUP1	3.16244593462891e-06	9.50305093649705e-07	0.000875278590354437
ALT_Liver_intensity_GROUP2	ALT	Liver_intensity_GROUP2	0.0165147415125146	0.160313611431178	0.0385503533761354	9.70730370255535	2.33429953153809	0.000371790041134531	2.42406006469629e-07	8.02890353294199e-08	3.01916700674078	intensity_GROUP2	2.01167854594932e-06	6.66299048376929e-07	0.00253457651445019
ALT_Liver_intensity_GROUP3	ALT	Liver_intensity_GROUP3	0.0173196185506879	0.0509440429707075	0.0234787075898513	2.94140675336549	1.3556134346226	0.156324254450739	8.45346837629091e-08	4.59694767449876e-08	1.83893073727724	intensity_GROUP3	7.01556260689723e-07	3.81489433568362e-07	0.0659162685693436
ALT_Liver_intensity_GROUP4	ALT	Liver_intensity_GROUP4	0.0103520137610824	0.034138414609796	0.0188601273155781	3.29775591471264	1.8218800468061	0.20752673379971	5.54137646857675e-08	5.16688953862534e-08	1.07247821482382	intensity_GROUP4	4.59870899392788e-07	4.28787513578866e-07	0.283499396998191
ALT_Liver_specificity_GROUP1	ALT	Liver_specificity_GROUP1	0.00561719625327893	0.0960348188383566	0.021502697910124	17.0965753212375	3.82801257790703	5.63966451576411e-05	2.11195986117565e-07	8.48009519877031e-08	2.49049074529482	1-2	1.75267175122088e-06	7.03742340146914e-07	0.0127562754591292
ALT_Liver_specificity_GROUP2	ALT	Liver_specificity_GROUP2	0.01373541621688	0.100311744749045	0.024302825470502	7.30314561751452	1.76935486240565	0.0004828908550769	8.72605179989118e-09	4.39101072196387e-08	0.198725358520384	3-8	7.24055851645366e-08	3.64399230038495e-07	0.842498587248497
ALT_Liver_specificity_GROUP3	ALT	Liver_specificity_GROUP3	0.0187750402228828	0.0625453731805551	0.0368784872898899	3.33130435077979	1.96422946913013	0.241298528031001	-8.67979205044087e-08	4.98695115080936e-08	-1.74050071636097	9-15	-7.20322696533657e-07	4.13854867287084e-07	0.0817677416264037
ALT_Liver_specificity_GROUP4	ALT	Liver_specificity_GROUP4	0.0138999815304373	0.0413129918542586	0.0241444153403407	2.97216163660319	1.7370106059113	0.259440946361882	-1.91809632408771e-07	6.76707639570368e-08	-2.83445348024367	16-18	-1.591809568569e-06	5.61583103377899e-07	0.00458968793393286
ALT_Liver_specificity_GROUP5	ALT	Liver_specificity_GROUP5	0.0129182932379425	0.154488609636735	0.0323671719499723	11.9589025261468	2.50553005368436	1.64961225818679e-05	-2.34395107428994e-07	9.6362447267834e-08	-2.43243207364282	19	-1.9451916010194e-06	7.99688359069162e-07	0.0149975978338033
Creatinine_Liver_intensity_GROUP1	Creatinine	Liver_intensity_GROUP1	0.0122383918966094	0.124985899306584	0.0258972176747581	10.2126080258315	2.11606376830708	1.0077844304159e-05	5.26768131686464e-07	1.40403795213576e-07	3.75180835308027	intensity_GROUP1	2.70555536979375e-06	7.21128891697872e-07	0.000175546196743589
