expr_group	mean_z_sq	mean_gamma_sq	sd	median	count	reg_coef	reg_coef_se	trait_cell
group1	1.15110067035249	0.000616529446340305	1.62134711803046	0.513862237627499	1201	0	0	30040_irnt_Erythroidcells
group2	1.25676846129705	0.00213471134092036	2.11750518321529	0.597807807529173	1049	0.105667790944509	0.625341707625672	30040_irnt_Erythroidcells
group3	1.49125938224976	0.00354125549712724	5.0496342531809	0.552968390573707	1216	0.340158711897285	0.601984650949078	30040_irnt_Erythroidcells
group4	1.43585729322408	0.00302227771524093	6.08282838998664	0.566698951587573	1669	0.28475662287154	0.55992087644195	30040_irnt_Erythroidcells
group5	3.04945385698799	0.0200596049713263	29.850800620061	0.666688606243182	1523	1.89835318663544	0.571041248624851	30040_irnt_Erythroidcells
group1	1.1663546059983	0.00172339685985575	1.84484742805013	0.51340746104982	1201	0	0	30240_irnt_Erythroidcells
group2	1.33395632568333	0.00346319015303436	2.60682656105494	0.541697732324904	1049	0.167601719685074	0.20669672801621	30240_irnt_Erythroidcells
group3	1.18644798837644	0.00241712854349555	2.00036855556897	0.478101698506626	1216	0.0200933823781506	0.198976425448408	30240_irnt_Erythroidcells
group4	1.40866324110842	0.00377723649120885	5.49971428808118	0.4836046891929	1668	0.242308635110144	0.185096129689561	30240_irnt_Erythroidcells
group5	1.77251306868321	0.00486773093181152	7.80339112557263	0.558662394723123	1522	0.606158462684933	0.188775913856593	30240_irnt_Erythroidcells
group1	1.10214880751802	-1.81550811257885e-05	1.98640359360383	0.490481061522094	1020	0	0	30210_irnt_T-cells
group2	1.1331692869953	-3.04381390786193e-05	1.57852472428248	0.484556390610929	1018	0.0310204794772626	0.144359649712724	30210_irnt_T-cells
group3	1.15328924568149	0.00160970484297537	1.88021141965085	0.489076617076311	1306	0.0511404381634524	0.13616042097298	30210_irnt_T-cells
group4	1.24101851292483	0.00287482088732596	1.98749741474187	0.539454528690244	1927	0.138869705406789	0.126173116207009	30210_irnt_T-cells
group5	1.37085316235056	0.00217599078244106	5.25538729590424	0.553922304006187	2186	0.268704354832524	0.123558975582792	30210_irnt_T-cells
group1	1.16725716402614	0.00402468843629597	1.61702133046854	0.542894545484302	1020	0	0	30120_irnt_T-cells
group2	1.21280966406373	0.00104038881171899	1.78116589136002	0.515983130115704	1018	0.0455525000375717	0.127632298004255	30120_irnt_T-cells
group3	1.29823835594376	0.00417987808352148	2.17234848291298	0.556448278312995	1306	0.130981191917592	0.120383136566148	30120_irnt_T-cells
group4	1.16805170036633	0.00161454178529866	1.78940769696755	0.504629104429176	1927	0.000794536340163217	0.111553088414283	30120_irnt_T-cells
group5	1.62588861965039	0.00631011994516683	4.46872519621332	0.607678523799853	2186	0.458631455624217	0.10924185549124	30120_irnt_T-cells
group1	1.58091456455586	0.00376286355383434	2.97056916786524	0.587300100815493	1681	0	0	50_irnt_bone
group2	1.55111742909542	0.00199702368205928	2.84108113972582	0.660047973040377	937	-0.0297971354604429	0.184445024799074	50_irnt_bone
group3	2.0201178443141	0.00509915887307161	3.53774698875636	0.840381589228481	756	0.439203279758268	0.198115651194379	50_irnt_bone
group4	2.45408991079174	0.00746429030725988	7.17546705747989	0.735671101660811	626	0.873175346235901	0.211830528672254	50_irnt_bone
group5	3.03882361583721	0.00842598410485276	7.25001331127995	0.926433916678322	555	1.45790905128135	0.221483474318513	50_irnt_bone
group1	1.14585117016956	0.00391684949827117	1.78268594552568	0.520107821826306	1631	0	0	3148_irnt_bone
group2	1.12719114819336	0.00196863271655125	1.59908891342822	0.475533691379717	917	-0.0186600219761984	0.0758147916354424	3148_irnt_bone
group3	1.17914471131557	0.00259230077903015	1.80442973565699	0.482843973661227	743	0.033293541146007	0.0812989341944383	3148_irnt_bone
group4	1.30915466483964	0.0102721779509877	1.97638701587081	0.550446224016819	614	0.163303494670075	0.0869686820766365	3148_irnt_bone
group5	1.3033542544924	0.00420260531218526	2.2123897034915	0.492890439748014	546	0.157503084322849	0.0908179709928331	3148_irnt_bone
group1	1.11955158610124	0.0014167358879337	1.66610355565584	0.467436314878133	1668	0	0	30740_irnt_pancreas
group2	1.08761124999024	0.00229240684254246	1.59129314076474	0.471356545124225	2016	-0.031940336111	0.0995564193778283	30740_irnt_pancreas
group3	1.08474341061608	0.00120604140022065	1.54194336257006	0.559503375778409	1416	-0.0348081754851552	0.108687670247757	30740_irnt_pancreas
group4	1.10191872190878	0.00179734791599097	2.97563835489831	0.472079808083028	842	-0.017632864192457	0.127155613207556	30740_irnt_pancreas
group5	1.45326446554098	0.000392446320001395	8.83342217687871	0.447939201577357	482	0.333712879439745	0.155542986173323	30740_irnt_pancreas
group1	1.11995537637288	0.00388043246065797	1.59035883403915	0.50992297731684	1087	0	0	30620_irnt_liver
group2	1.09609576181888	0.0015598171512102	1.62785535756476	0.464591256976291	1719	-0.0238596145539534	0.768545102600539	30620_irnt_liver
group3	1.06688835505128	0.000275388496259645	1.58603507003312	0.449684261942089	1613	-0.0530670213215898	0.778266188051621	30620_irnt_liver
group4	1.14764477640167	0.000731215599239182	2.12697708842841	0.423788497703191	1147	0.0276894000287616	0.839505102063572	30620_irnt_liver
group5	2.81515433766953	0.00281677476976346	47.1101667045698	0.5921243753828	1190	1.69519896129674	0.832092292147585	30620_irnt_liver
group1	1.14889981498067	0.000667517770897086	1.71727721213329	0.464571376545295	1087	0	0	30700_irnt_liver
group2	1.1429578501008	0.00105190336945956	1.92751187609238	0.532730440020061	1718	-0.0059419648798754	0.0799175602120382	30700_irnt_liver
group3	1.15101872893532	0.000657595075855117	1.78273752599181	0.518655830125583	1613	0.00211891395463737	0.0809192897621824	30700_irnt_liver
group4	1.15970991609904	-0.000214182926863413	1.89559485317089	0.490801873905094	1147	0.0108101011183632	0.0872865321064272	30700_irnt_liver
group5	1.39174427980322	0.00094190293254006	2.88244802914013	0.550005914539974	1190	0.242844464822538	0.0865157941214587	30700_irnt_liver
