s_het,trait,h2_mean,h2_se
0.00043768897714566407,trait_0,6.550425207926804,4.487687989775967
0.0005938844349140941,trait_0,4.86081902550544,2.281952185309182
0.0006727167870823674,trait_0,6.69354547196374,4.75283211741058
0.0007417216646625896,trait_0,6.422383108485579,4.169369138477687
0.000803726423045055,trait_0,2.9611578596534724,2.474171686551232
0.0008593240990834952,trait_0,3.4887467167225408,1.6820046366838102
0.0009196474343734133,trait_0,2.7962704484177734,3.2152601662310154
0.0009803443162992164,trait_0,3.0615391933210105,2.295553122921276
0.0010369841429356927,trait_0,2.6933654788522947,2.2571256818504577
0.0010954767709720338,trait_0,7.4324691210313585,3.060044987141936
0.001156078705128668,trait_0,4.6169090233833625,2.4825797273518817
0.0012181543897627533,trait_0,8.572365583851496,5.244215549905146
0.0012754969552963324,trait_0,5.317487036467858,2.420312001508668
0.0013380527833879224,trait_0,6.550222847736384,2.920745348826776
0.0014034476999998128,trait_0,9.6636112213074,4.366674930045417
0.0014703472179824584,trait_0,7.056586927823726,4.045420960935693
0.0015438949583376777,trait_0,3.8629992444636447,3.26520359378741
0.001610168191272166,trait_0,7.6762366775867426,2.487212802219928
0.0016861952754249915,trait_0,7.206249891599985,4.196522586957848
0.0017770648678699734,trait_0,4.871128583537722,2.859114181916864
0.001865708018703894,trait_0,4.311227886039254,1.984344780599229
0.001956644786823176,trait_0,5.147571173539182,3.396208092309641
0.002060900029180725,trait_0,3.851917032521676,2.4937344433101263
0.002152626233460531,trait_0,4.646735191874644,2.3272084297114755
0.002251664719600263,trait_0,5.470021903692707,3.797782044036112
0.00235923089204533,trait_0,4.312622760462475,2.7863112507534744
0.0024615778201488425,trait_0,6.059556474631008,2.4916123723651245
0.002570494385979661,trait_0,5.683313050572322,2.123888407191719
0.0026880143938347876,trait_0,7.038200139131066,4.776535929958527
0.002821417809368385,trait_0,6.201403520696163,6.040864307139546
0.002961987759897698,trait_0,5.881298202898535,3.9097075207886434
0.0030878711205727287,trait_0,4.6774509457636695,2.3524664587290403
0.00323394431034005,trait_0,7.442597893669549,3.9833111017933978
0.003401703850235672,trait_0,3.4468177780626967,1.3529083100406176
0.0035722217715791734,trait_0,2.590335978610796,1.4525238482888791
0.003750173533721424,trait_0,9.008623298227798,4.126150832379021
0.003928426257257509,trait_0,3.904775972610892,2.422699726796353
0.00412089727885868,trait_0,1.996980814673755,3.537518803729442
0.004344903161525389,trait_0,12.188605202497577,5.795244525391229
0.004591951239482306,trait_0,3.9851181840377383,2.7584291089686763
0.0048707550860475676,trait_0,3.6284757130777554,2.809629877081536
0.005129984983482793,trait_0,6.179132663822278,2.804768893542568
0.005430611560829618,trait_0,6.72130820843226,2.8670840486286795
0.005775242493700895,trait_0,7.84560423330231,4.61926800741311
0.006192369906657724,trait_0,2.8660266627808557,1.4236875042349346
0.006650655252018835,trait_0,3.560797840583388,1.8264486596191467
0.007102890833197305,trait_0,9.323889705236668,4.217080329983008
0.007621838078982732,trait_0,6.983663192366131,3.2406378398710496
0.008145398230721584,trait_0,4.188569056516903,3.221984650642112
0.008690106252756746,trait_0,5.037077288199028,2.8456084823112957
0.00935701419314413,trait_0,11.270838303500057,4.004567943806329
0.010082352642653428,trait_0,5.325706552849714,3.319663173086129
0.010864857196144929,trait_0,10.409983857261937,4.423661210586813
0.011697148211958244,trait_0,3.51279929365856,1.8203211468611684
0.012636912733902422,trait_0,8.511495068935103,6.213050866609356
0.013584475177961842,trait_0,3.0297379670707927,1.2865388468136358
0.014642109719183349,trait_0,2.8121462767005934,1.2919100410454345
