chr,start,end,gwas_h2,gwas_h2_se,burden_h2,burden_h2_se,min_gwas_p,min_burden_p,min_burden_p_no_multi
1,10583,1892607,-0.00023887,0.0004459,2.8112315853500663e-05,8.188282225207392e-05,0.000878852,0.0033079882389181925,0.0033079882389181925
1,1892607,3582736,-0.00027201,0.00044364,2.3210262275685514e-05,5.1159904763595434e-05,3.78469e-06,0.018486915352522882,0.018486915352522882
1,3582736,4380811,-0.00023754,0.00044599,1.608330063924494e-05,3.177732239780443e-05,0.00321602,0.09699889403734688,0.09699889403734688
1,4380811,5913893,-0.00028401,0.00044282,-4.871699848422759e-06,9.589817358215084e-06,0.000260499,0.5956748088651624,inf
1,5913893,7247335,-0.00022545,0.00044682,4.291179775070291e-05,5.1641131003629496e-05,0.000148389,0.04138620577327022,0.04138620577327022
1,7247335,9365199,-0.00029482,0.00044207,-3.682385382297715e-05,4.552646935032987e-05,0.000145417,0.020684374032241156,0.020684374032241156
1,9365199,10806984,-0.00018923,0.00044927,4.786309042239802e-05,4.8141561209397136e-05,0.000100473,0.023664589262480516,0.023664589262480516
1,10806984,11777841,-0.00029381,0.00044214,3.376707431911644e-05,4.427705665476273e-05,0.00033243,0.0077400823555587,0.0077400823555587
1,11777841,12779466,-0.00023522,0.00044615,1.6114734473603988e-05,4.5640479737221604e-05,0.000419892,0.0475310319357286,0.0475310319357286
1,12779466,14891511,-0.00029575,0.00044201,3.476515921921772e-05,4.240701075205822e-05,0.000717208,0.056872929122084984,0.056872929122084984
1,14891511,16897730,-0.00033275,0.00043946,-2.521918686478776e-05,6.173984572472327e-05,0.000119588,0.049950539323712746,0.049950539323712746
1,16897730,18662899,-0.0002314,0.00044641,3.997655549206405e-05,4.224365289313283e-05,0.000129088,0.07880300843480356,0.07880300843480356
1,18662899,20469149,-0.00028303,0.00044288,3.362315107409175e-05,5.656037929373128e-05,0.000213654,0.031315503929742465,0.031315503929742465
1,20469149,21736588,-0.0001641,0.00045097,-1.2566520030786421e-05,4.3896104745324964e-05,0.000319326,0.07053565535846738,0.07053565535846738
1,21736588,23086883,-0.00029236,0.00044224,-2.1998867138207676e-05,4.3838981719753724e-05,0.000340185,0.07585990099209358,0.07585990099209358
1,23086883,23920590,-0.00023003,0.00040085,-4.29166995679229e-05,4.1043160457021984e-05,0.00810854,0.18961047593033648,0.18961047593033648
1,23920590,25516845,-0.00026505,0.00044412,-3.083439100945466e-05,5.3790154296061643e-05,0.000285206,0.04439555073199219,0.04439555073199219
1,25516845,27401867,-0.00026175,0.00044434,0.0001203075298079679,8.481736751827666e-05,0.000845697,0.0004922631894133224,0.0004922631894133224
1,27401867,30161881,-0.00022008,0.00044718,-0.00011245447614070331,6.833864751166531e-05,0.000264353,0.06015075579573704,0.06015075579573704
1,30161881,32438685,-0.00021507,0.00044752,5.3224563102080566e-05,4.79065121939252e-05,0.000571235,0.04145435582681069,0.04145435582681069
1,32438685,34799758,-0.00023209,0.00044637,5.28349790415845e-05,6.963173454525456e-05,0.000456192,0.02941533153025863,0.02941533153025863
1,34799758,37549183,-0.00019892,0.00044862,-3.931530790881067e-05,6.299446532645651e-05,0.000192484,0.06878622202030768,0.06878622202030768
1,37549183,38731847,-0.00019577,0.00044883,1.1556588942924003e-05,4.807214873834581e-05,0.00118159,0.03663611041623445,0.03663611041623445
1,38731847,40200567,-0.0003101,0.00044102,-1.725886490526069e-05,4.110686001482568e-05,8.53507e-05,0.07438029233326436,0.07438029233326436
1,40200567,41975327,-0.00023711,0.00044602,8.570415922733752e-06,5.794594185638668e-05,4.40798e-06,0.01806851389654958,0.01806851389654958
1,41975327,43758457,-0.00024882,0.00044523,-5.620033043580894e-05,5.486236937411236e-05,6.55749e-07,0.07648362717562586,0.07648362717562586
1,43758457,44969183,5.0954e-05,0.00046524,5.1637248864850243e-05,5.136648835354883e-05,6.59474e-06,0.009803693321854939,0.009803693321854939
1,44969183,46899501,-0.00023646,0.00044607,-0.00010248515634373179,6.969856784675883e-05,0.000421265,0.11223498764171107,0.11223498764171107
1,46899501,48002576,-0.00020328,0.00042618,-7.971009681603554e-05,4.994969114223859e-05,0.000145057,0.16821837212135624,0.16821837212135624
1,48002576,48978188,-0.00027885,0.00044317,-4.241793018414895e-06,2.0357640729329506e-05,0.00061876,0.18226731750671893,0.28937744504855684
1,48978188,49894177,-0.00017214,0.00036276,1.2367942089221723e-06,1.4234718459247087e-05,0.00160239,0.08272186644381736,0.7223179026891335
1,49894177,51713726,-0.00018016,0.00036209,-1.5523356842504483e-05,2.1349962977073403e-05,0.00294043,0.08272186644381736,0.685177685250421
1,51713726,54226262,-0.00019191,0.00044909,-0.0001023155746426407,6.320533905399593e-05,0.000452005,0.1561371893536581,0.1561371893536581
1,54226262,56413117,-0.00033013,0.00043964,5.5446532874351114e-05,5.6774538205811524e-05,0.00041438,0.010846154880717256,0.010846154880717256
