ID	TRAIT	ANNOT	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z.score	BIN	tau	tau_se	tau_p
ALT_liver_specificity_GROUP1	ALT	liver_specificity_GROUP1	L2_0	0.000181843832717765	0.00132022857011029	0.00446144874299277	7.26023286233404	24.5345067595295	0.799371433223761	-1.03979935000091e-07	4.71892780578863e-07	-0.220346526328589	specificity_GROUP1	-0.0767641703002069	0.348298150245641	0.825561304436213
ALT_liver_specificity_GROUP2	ALT	liver_specificity_GROUP2	L2_1	0.000223110975567	0.0183281847126382	0.013515543353698	82.1482881604551	60.5776713554788	0.176055547155164	1.48810420252388e-06	1.09653078179459e-06	1.35710207796305	specificity_GROUP2	1.2359650093721	0.910765248930724	0.174761476766636
ALT_liver_specificity_GROUP3	ALT	liver_specificity_GROUP3	L2_2	0.000217407386717918	0.000872134945547887	0.00468817310629949	4.01152398137909	21.5640010078512	0.888575595974666	-1.49769963422739e-07	7.71653492394631e-07	-0.194089659282129	specificity_GROUP3	-0.119803273422488	0.617132747178872	0.84607498858078
ALT_liver_specificity_GROUP4	ALT	liver_specificity_GROUP4	L2_3	0.000169262386727145	0.0188284349074193	0.00821336529530665	111.238150846657	48.524456343315	0.0258951780055937	1.85985533012301e-06	1.2554357874137e-06	1.48144202098497	specificity_GROUP4	1.30235823640587	0.879140259434678	0.138500058337286
ALT_liver_specificity_GROUP5	ALT	liver_specificity_GROUP5	L2_4	0.000239886236887827	0.0485515987994072	0.0111730775171342	202.394265837396	46.5765675517218	1.76547115981145e-05	3.41736873038529e-06	1.05095121546239e-06	3.25169111573056	specificity_GROUP5	2.81040409517905	0.864311602297027	0.0011475343355583
ALT_liver_TPM_GROUP1	ALT	liver_TPM_GROUP1	L2_5	0.000231163101000997	0.0392641655898882	0.00929028900787762	169.854814284218	40.1893250594417	5.89767411763296e-05	8.04685518794363e-07	9.41927800055205e-07	0.854296389539837	TPM_GROUP1	0.63770592762584	0.746434650442362	0.392918894702821
ALT_liver_TPM_GROUP2	ALT	liver_TPM_GROUP2	L2_6	0.000215058850133003	0.0211476170703916	0.0150056165063781	98.3340934693591	69.7744663709395	0.160787404453277	3.85858126346326e-07	1.4410965436345e-06	0.267753141210912	TPM_GROUP2	0.304077965315526	1.13515965623252	0.788797523000332
ALT_liver_TPM_GROUP3	ALT	liver_TPM_GROUP3	L2_7	0.000202141898915966	0.00953047474156064	0.00761793767142184	47.1474483650845	37.6860893870833	0.218351914941996	-1.66157485056124e-07	8.90028478068427e-07	-0.186687829828462	TPM_GROUP3	-0.12865241551258	0.689369255823739	0.851955939981528
ALT_liver_TPM_GROUP4	ALT	liver_TPM_GROUP4	L2_8	0.000188386184632888	0.00851876783502842	0.00457385722456023	45.2197057423777	24.2791541931454	0.0714302683329485	-2.75038437782307e-07	7.61097056196636e-07	-0.361371043998952	TPM_GROUP4	-0.210557771288434	0.582941425123348	0.717950803145621
Creatinine_liver_specificity_GROUP1	Creatinine	liver_specificity_GROUP1	L2_0	0.000181843832717765	0.00181086012961931	0.00323248989937662	9.95832579282407	17.7761865830978	0.613374829664211	1.94445299435889e-07	6.50304397084893e-07	0.299006588772159	specificity_GROUP1	0.0890782724831176	0.298174071657028	0.765133955066392
