annot	trait	tau	tau_se	p
Bone_specificity-5per_GROUP1	3148_irnt	0.571814754651966	0.2199367451007	0.00932494336950502
Bone_specificity-5per_GROUP1	50_irnt	0.402203799290891	0.121011664502286	0.000888387281012221
Bone_specificity-5per_GROUP2	3148_irnt	0.0773198962084143	0.244421293219296	0.751745495524249
Bone_specificity-5per_GROUP2	50_irnt	0.00497579087795147	0.173108389326228	0.97706893285037
Bone_specificity-5per_GROUP3	3148_irnt	-0.114391121751005	0.385189028804086	0.766486368837224
Bone_specificity-5per_GROUP3	50_irnt	-0.721555678804592	0.243238809581201	0.00301259695157821
Bone_specificity-5per_GROUP4	3148_irnt	-0.347741891449075	0.341115945044962	0.308001563576765
Bone_specificity-5per_GROUP4	50_irnt	-0.890617708271076	0.251412078866102	0.000396410696110995
Bone_specificity-5per_GROUP5	3148_irnt	-1.07857412763885	0.462504958838557	0.0196992621678572
Bone_specificity-5per_GROUP5	50_irnt	-0.76349187119404	0.256197269902769	0.00288160220467943
Bone_intensity-5per_GROUP1	3148_irnt	1.14964591143514	0.400238338863387	0.00407362772942644
Bone_intensity-5per_GROUP1	50_irnt	1.4667079990077	0.263796985759217	2.69793646655236e-08
Bone_intensity-5per_GROUP2	3148_irnt	0.82313988652966	0.396973483111389	0.0381221718679591
Bone_intensity-5per_GROUP2	50_irnt	1.27278922534447	0.282915845631114	6.83296819497139e-06
Bone_intensity-5per_GROUP3	3148_irnt	0.637099185061951	0.296411096570649	0.0316045294076244
Bone_intensity-5per_GROUP3	50_irnt	0.741616763394131	0.223667962034079	0.0009141258508788
Bone_intensity-5per_GROUP4	3148_irnt	0.398363514310561	0.278273197911003	0.152271085784225
Bone_intensity-5per_GROUP4	50_irnt	0.452200555069124	0.182648355548706	0.0132938520524318
Erythroid_specificity-5per_GROUP1	30040_irnt	1.67158445553464	0.349388092186053	1.71567121861258e-06
Erythroid_specificity-5per_GROUP1	30240_irnt	1.91118537128602	0.460623487693647	3.33745554433009e-05
Erythroid_specificity-5per_GROUP2	30040_irnt	1.66307753263622	0.412735463234927	5.5918672717687e-05
Erythroid_specificity-5per_GROUP2	30240_irnt	0.783213082479373	0.350595937613994	0.0254864968386471
Erythroid_specificity-5per_GROUP3	30040_irnt	1.01211298644641	0.429898197994597	0.0185572021839655
Erythroid_specificity-5per_GROUP3	30240_irnt	0.445919882162624	0.247759901273078	0.0718911963582847
Erythroid_specificity-5per_GROUP4	30040_irnt	0.118345118978258	0.344856403467383	0.731468942858117
Erythroid_specificity-5per_GROUP4	30240_irnt	-0.0235250160670905	0.265040771589719	0.929272655999222
Erythroid_specificity-5per_GROUP5	30040_irnt	-1.06476594175714	0.713614930948745	0.135679872905606
Erythroid_specificity-5per_GROUP5	30240_irnt	-1.26212061268803	0.575917685206458	0.028416005587094
Erythroid_intensity-5per_GROUP1	30040_irnt	3.70280157635867	0.730157754660454	3.95242302525679e-07
Erythroid_intensity-5per_GROUP1	30240_irnt	2.10055877925369	0.630574695305551	0.000864781879497268
Erythroid_intensity-5per_GROUP2	30040_irnt	1.85866352409603	0.543696401020064	0.000629514131026479
Erythroid_intensity-5per_GROUP2	30240_irnt	1.83033974631074	0.512678717894006	0.00035677734204849
Erythroid_intensity-5per_GROUP3	30040_irnt	0.707328680477724	0.514843692704248	0.169481817650816
Erythroid_intensity-5per_GROUP3	30240_irnt	0.451312607732408	0.313585660466182	0.150093752331185
Erythroid_intensity-5per_GROUP4	30040_irnt	0.523753612088833	0.412602510238779	0.20430190457196
Erythroid_intensity-5per_GROUP4	30240_irnt	0.652030257435023	0.414697436800551	0.115880167136469
Liver_specificity-5per_GROUP1	30620_irnt	0.782592295955686	0.314230735648683	0.0127562754591292
Liver_specificity-5per_GROUP1	30700_irnt	0.469487396238066	0.222405607795762	0.0347765021225969
Liver_specificity-5per_GROUP2	30620_irnt	0.0505370413400799	0.254340309672251	0.842498587248497
Liver_specificity-5per_GROUP2	30700_irnt	0.128269520454324	0.226705977407015	0.571531910378453
Liver_specificity-5per_GROUP3	30620_irnt	-0.585421762629864	0.336348760140494	0.0817677416264037
Liver_specificity-5per_GROUP3	30700_irnt	-0.103744511715094	0.305645471456109	0.734287622478775
Liver_specificity-5per_GROUP4	30620_irnt	-1.12191059747726	0.395804904986358	0.00458968793393286
Liver_specificity-5per_GROUP4	30700_irnt	-0.639901644993711	0.286372583404074	0.0254497088928649
Liver_specificity-5per_GROUP5	30620_irnt	-1.34572793887465	0.553242655699428	0.0149975978338033
Liver_specificity-5per_GROUP5	30700_irnt	-1.75658379634822	0.410597238965006	1.88479367033304e-05
Liver_intensity-5per_GROUP1	30620_irnt	2.13264329300481	0.640852626787488	0.000875278590354437
Liver_intensity-5per_GROUP1	30700_irnt	1.82453222363811	0.486304185450658	0.000175546196743589
Liver_intensity-5per_GROUP2	30620_irnt	1.54289067128242	0.511029253702155	0.00253457651445019
Liver_intensity-5per_GROUP2	30700_irnt	1.02893251799294	0.336136304771264	0.00220556818880533
Liver_intensity-5per_GROUP3	30620_irnt	0.548805739685313	0.298427371406797	0.0659162685693436
Liver_intensity-5per_GROUP3	30700_irnt	0.276357094063832	0.338981368689735	0.414924945975876
Liver_intensity-5per_GROUP4	30620_irnt	0.27901822704141	0.260158953250231	0.283499396998191
Liver_intensity-5per_GROUP4	30700_irnt	0.0102957085368107	0.221377623766087	0.962905797105792
Pancreas_specificity-5per_GROUP1	30740_irnt	1.11527929799662	0.447541476942913	0.0127021292793059
Pancreas_specificity-5per_GROUP2	30740_irnt	0.0880638753888273	0.457675424196098	0.847416700999839
Pancreas_specificity-5per_GROUP3	30740_irnt	-0.955113689839194	0.472825075189301	0.0433818435895757
Pancreas_specificity-5per_GROUP4	30740_irnt	-2.43104863300415	0.621798398321253	9.24087035442282e-05
Pancreas_specificity-5per_GROUP5	30740_irnt	-3.68100136951438	1.00139959387366	0.000237052599866423
Pancreas_intensity-5per_GROUP1	30740_irnt	3.7648514394008	1.11053200576666	0.000698586675294011
Pancreas_intensity-5per_GROUP2	30740_irnt	2.54596138762819	0.584199781622077	1.31237152757386e-05
Pancreas_intensity-5per_GROUP3	30740_irnt	1.29762254309575	0.528796188690429	0.0141309157826274
Pancreas_intensity-5per_GROUP4	30740_irnt	-0.0962740191404942	0.381356505877228	0.80069210327196
Tcell_specificity-5per_GROUP1	30120_irnt	1.23984324987825	0.237598010293175	1.80632097922931e-07
Tcell_specificity-5per_GROUP1	30210_irnt	2.07372321632488	0.413403390655174	5.26974128634391e-07
Tcell_specificity-5per_GROUP2	30120_irnt	0.842116606880276	0.251603294696402	0.00081690765849805
Tcell_specificity-5per_GROUP2	30210_irnt	1.29620853260522	0.322366717681566	5.79730092064294e-05
Tcell_specificity-5per_GROUP3	30120_irnt	0.426780337848739	0.280610117960613	0.12828456775349
Tcell_specificity-5per_GROUP3	30210_irnt	0.940746177985732	0.430099385053172	0.0287223620906304
Tcell_specificity-5per_GROUP4	30120_irnt	-0.090625149655621	0.220254692796541	0.68073808270029
Tcell_specificity-5per_GROUP4	30210_irnt	-0.337482843144637	0.278203202145652	0.225099094635285
Tcell_specificity-5per_GROUP5	30120_irnt	-1.26499663466578	0.409839997064761	0.00202485592305363
Tcell_specificity-5per_GROUP5	30210_irnt	-0.499679005257876	0.524272305378438	0.340544169214685
